Strike Price,Option Price
8.08298645787217e-06,-3019712.538298532
8.132735513718693e-06,-2991932.8147410504
8.182790764382013e-06,-2964407.610897733
8.233154094425834e-06,-2937134.595015818
8.283827400012994e-06,-2910111.456705702
8.334812588976752e-06,-2883335.9067452205
8.386111580892726e-06,-2856805.6768857148
8.437726307151075e-06,-2830518.5196598726
8.48965871102925e-06,-2804472.2081913864
8.541910747765202e-06,-2778664.5360062397
8.594484384630909e-06,-2753093.316845825
8.647381601006491e-06,-2727756.38448177
8.700604388454773e-06,-2702651.59253237
8.754154750796183e-06,-2677776.814280802
8.808034704184228e-06,-2653129.942494953
8.862246277181461e-06,-2628708.8892489052
8.916791510835743e-06,-2604511.585746103
8.971672458757207e-06,-2580535.9821440033
9.026891187195476e-06,-2556780.0473805433
